,Unnamed: 0,Date,Rented Bike Count,Hour,Temperature(캜),Humidity(%),Wind speed (m/s),Visibility (10m),Seasons,Holiday,Functioning Day
5434,5434,15/07/2018,701,10,28.5,66,1.7,1319,Summer,No Holiday,Yes
8327,8327,12/11/2018,702,23,6.9,60,0.8,1610,Autumn,No Holiday,Yes
8463,8463,18/11/2018,1047,15,9.6,34,1.6,1806,Autumn,No Holiday,Yes
3392,3392,21/04/2018,600,8,14.6,54,0.9,431,Spring,No Holiday,Yes
6181,6181,15/08/2018,591,13,36.9,39,1.5,2000,Summer,Holiday,Yes
864,864,06/01/2018,184,0,-4.3,52,1.6,1247,Winter,No Holiday,Yes
6628,6628,03/09/2018,153,4,24.0,70,1.2,2000,Autumn,No Holiday,Yes
8736,8736,30/11/2018,474,0,1.8,62,1.6,1411,Autumn,No Holiday,Yes
8707,8707,28/11/2018,1039,19,6.0,24,3.0,1861,Autumn,No Holiday,Yes
4509,4509,06/06/2018,1935,21,22.1,72,2.5,923,Summer,Holiday,Yes
6432,6432,26/08/2018,1163,0,22.8,78,1.5,2000,Summer,No Holiday,Yes
371,371,16/12/2017,239,11,-5.2,30,4.0,1991,Winter,No Holiday,Yes
6100,6100,12/08/2018,260,4,28.1,63,0.8,2000,Summer,No Holiday,Yes
4372,4372,01/06/2018,265,4,18.1,76,1.8,561,Summer,No Holiday,Yes
4480,4480,05/06/2018,1434,16,28.8,38,3.1,1027,Summer,No Holiday,Yes
2542,2542,16/03/2018,660,22,4.9,46,0.8,2000,Spring,No Holiday,Yes
7319,7319,01/10/2018,1057,23,13.4,69,3.7,2000,Autumn,No Holiday,Yes
4610,4610,11/06/2018,353,2,19.2,60,1.5,2000,Summer,No Holiday,Yes
6858,6858,12/09/2018,3256,18,27.0,44,1.4,2000,Autumn,No Holiday,Yes
5202,5202,05/07/2018,2594,18,26.8,71,1.2,2000,Summer,No Holiday,Yes
8567,8567,22/11/2018,488,23,0.4,37,2.9,2000,Autumn,No Holiday,Yes
2364,2364,09/03/2018,510,12,6.8,51,1.0,1617,Spring,No Holiday,Yes
1360,1360,26/01/2018,147,16,-10.8,28,2.7,1778,Winter,No Holiday,Yes
911,911,07/01/2018,149,23,1.1,39,0.6,1422,Winter,No Holiday,Yes
4057,4057,19/05/2018,676,1,11.4,74,1.3,2000,Spring,No Holiday,Yes
5502,5502,18/07/2018,695,6,23.7,83,0.1,713,Summer,No Holiday,Yes
4981,4981,26/06/2018,24,13,20.5,97,1.2,338,Summer,No Holiday,Yes
6408,6408,25/08/2018,980,0,23.2,81,2.4,1976,Summer,No Holiday,Yes
3000,3000,05/04/2018,436,0,9.5,61,1.7,2000,Spring,No Holiday,Yes
5212,5212,06/07/2018,273,4,22.6,66,0.9,2000,Summer,No Holiday,Yes
964,964,10/01/2018,31,4,-6.6,72,2.2,2000,Winter,No Holiday,Yes
6961,6961,17/09/2018,337,1,20.5,73,1.9,1693,Autumn,No Holiday,Yes
1423,1423,29/01/2018,231,7,-11.1,37,1.6,2000,Winter,No Holiday,Yes
122,122,06/12/2017,117,2,-3.0,79,0.0,1862,Winter,No Holiday,Yes
479,479,20/12/2017,153,23,-1.1,87,1.4,349,Winter,No Holiday,Yes
662,662,28/12/2017,311,14,0.8,55,1.8,1132,Winter,No Holiday,Yes
5715,5715,27/07/2018,371,3,27.6,80,1.6,929,Summer,No Holiday,Yes
6486,6486,28/08/2018,581,6,22.5,90,0.6,1149,Summer,No Holiday,Yes
5485,5485,17/07/2018,763,13,31.1,53,3.2,1162,Summer,No Holiday,Yes
6053,6053,10/08/2018,283,5,26.1,83,0.3,1617,Summer,No Holiday,Yes
4819,4819,19/06/2018,2809,19,23.3,59,2.6,1214,Summer,No Holiday,Yes
439,439,19/12/2017,165,7,-4.4,64,2.8,1367,Winter,No Holiday,Yes
1379,1379,27/01/2018,125,11,-9.6,33,1.1,1748,Winter,No Holiday,Yes
3027,3027,06/04/2018,18,3,7.2,96,0.8,349,Spring,No Holiday,Yes
8251,8251,09/11/2018,0,19,11.9,71,2.7,589,Autumn,No Holiday,No
1443,1443,30/01/2018,54,3,-10.7,42,1.4,2000,Winter,No Holiday,Yes
5706,5706,26/07/2018,2367,18,33.2,59,1.8,1069,Summer,No Holiday,Yes
3733,3733,05/05/2018,1408,13,22.7,35,3.4,1794,Spring,No Holiday,Yes
1477,1477,31/01/2018,171,13,-0.8,39,2.6,1853,Winter,No Holiday,Yes
7815,7815,22/10/2018,1167,15,20.2,31,1.6,855,Autumn,No Holiday,Yes
1173,1173,18/01/2018,339,21,0.8,45,1.5,1184,Winter,No Holiday,Yes
5255,5255,07/07/2018,1416,23,21.7,51,1.7,2000,Summer,No Holiday,Yes
5661,5661,24/07/2018,1899,21,30.2,65,2.3,1642,Summer,No Holiday,Yes
3145,3145,11/04/2018,0,1,13.6,81,3.6,886,Spring,No Holiday,No
5199,5199,05/07/2018,1011,15,28.8,66,0.9,1806,Summer,No Holiday,Yes
4861,4861,21/06/2018,1147,13,27.3,33,3.4,1921,Summer,No Holiday,Yes
4901,4901,23/06/2018,339,5,21.1,48,0.3,2000,Summer,No Holiday,Yes
2669,2669,22/03/2018,81,5,1.1,88,0.9,927,Spring,No Holiday,Yes
279,279,12/12/2017,250,15,-5.8,30,2.8,2000,Winter,No Holiday,Yes
5026,5026,28/06/2018,826,10,25.3,70,0.6,1386,Summer,No Holiday,Yes
5143,5143,03/07/2018,1308,7,23.5,86,0.2,1908,Summer,No Holiday,Yes
5617,5617,23/07/2018,542,1,30.0,52,1.5,1774,Summer,No Holiday,Yes
2571,2571,18/03/2018,174,3,5.5,57,1.1,1079,Spring,No Holiday,Yes
5364,5364,12/07/2018,991,12,27.4,80,2.7,1083,Summer,No Holiday,Yes
1101,1101,15/01/2018,334,21,3.4,59,0.8,471,Winter,No Holiday,Yes
568,568,24/12/2017,54,16,2.3,91,3.3,270,Winter,Holiday,Yes
1694,1694,09/02/2018,283,14,4.0,25,0.9,1009,Winter,No Holiday,Yes
6775,6775,09/09/2018,366,7,15.7,68,0.9,2000,Autumn,No Holiday,Yes
7525,7525,10/10/2018,1015,13,14.3,43,3.6,1995,Autumn,No Holiday,Yes
8451,8451,18/11/2018,258,3,2.5,49,0.2,2000,Autumn,No Holiday,Yes
7282,7282,30/09/2018,0,10,20.7,62,1.3,1679,Autumn,No Holiday,No
7688,7688,17/10/2018,2202,8,9.2,68,0.2,952,Autumn,No Holiday,Yes
577,577,25/12/2017,132,1,-1.2,57,4.3,1429,Winter,Holiday,Yes
59,59,03/12/2017,273,11,5.1,87,1.4,321,Winter,No Holiday,Yes
787,787,02/01/2018,403,19,-1.3,28,2.4,2000,Winter,No Holiday,Yes
3334,3334,18/04/2018,1003,22,11.3,42,1.6,1189,Spring,No Holiday,Yes
4046,4046,18/05/2018,697,14,16.7,88,1.5,1760,Spring,No Holiday,Yes
8528,8528,21/11/2018,1622,8,6.4,86,0.9,450,Autumn,No Holiday,Yes
5934,5934,05/08/2018,222,6,27.3,83,1.4,1080,Summer,No Holiday,Yes
4992,4992,27/06/2018,513,0,20.5,94,3.7,896,Summer,No Holiday,Yes
2995,2995,04/04/2018,1626,19,14.3,53,2.1,2000,Spring,No Holiday,Yes
5507,5507,18/07/2018,701,11,30.2,53,2.2,1143,Summer,No Holiday,Yes
3087,3087,08/04/2018,343,15,7.3,38,0.8,2000,Spring,No Holiday,Yes
4038,4038,18/05/2018,77,6,17.4,98,0.3,234,Spring,No Holiday,Yes
4482,4482,05/06/2018,3227,18,27.1,40,2.8,1811,Summer,No Holiday,Yes
4352,4352,31/05/2018,2281,8,16.9,65,1.6,896,Spring,No Holiday,Yes
335,335,14/12/2017,211,23,-5.6,53,1.2,1290,Winter,No Holiday,Yes
6793,6793,10/09/2018,487,1,20.5,58,1.7,2000,Autumn,No Holiday,Yes
4387,4387,01/06/2018,2505,19,26.8,35,1.9,2000,Summer,No Holiday,Yes
3151,3151,11/04/2018,0,7,8.8,85,1.1,438,Spring,No Holiday,No
5620,5620,23/07/2018,174,4,29.3,51,0.9,1498,Summer,No Holiday,Yes
7864,7864,24/10/2018,1492,16,18.2,42,1.3,1976,Autumn,No Holiday,Yes
184,184,08/12/2017,401,16,-1.1,24,3.4,2000,Winter,No Holiday,Yes
3274,3274,16/04/2018,700,10,12.4,34,1.2,1943,Spring,No Holiday,Yes
8224,8224,08/11/2018,14,16,11.7,96,1.4,587,Autumn,No Holiday,Yes
420,420,18/12/2017,62,12,-1.8,83,1.2,351,Winter,No Holiday,Yes
2350,2350,08/03/2018,498,22,2.8,74,2.1,469,Spring,No Holiday,Yes
553,553,24/12/2017,251,1,5.6,78,0.5,197,Winter,Holiday,Yes
1397,1397,28/01/2018,21,5,-7.5,33,1.5,2000,Winter,No Holiday,Yes
1384,1384,27/01/2018,195,16,-3.7,25,2.6,1839,Winter,No Holiday,Yes
6649,6649,04/09/2018,486,1,21.3,97,1.1,570,Autumn,No Holiday,Yes
3639,3639,01/05/2018,1639,15,23.1,61,2.5,556,Spring,Holiday,Yes
1760,1760,12/02/2018,517,8,-9.1,33,2.1,1998,Winter,No Holiday,Yes
6165,6165,14/08/2018,1684,21,31.3,59,0.3,2000,Summer,No Holiday,Yes
297,297,13/12/2017,340,9,-11.1,46,3.4,1981,Winter,No Holiday,Yes
443,443,19/12/2017,174,11,-3.5,35,2.2,1742,Winter,No Holiday,Yes
777,777,02/01/2018,315,9,-3.1,66,0.2,1168,Winter,No Holiday,Yes
1119,1119,16/01/2018,250,15,6.3,40,0.3,498,Winter,No Holiday,Yes
6465,6465,27/08/2018,75,9,21.5,97,0.9,1543,Summer,No Holiday,Yes
7542,7542,11/10/2018,518,6,6.6,65,1.6,2000,Autumn,No Holiday,Yes
6170,6170,15/08/2018,676,2,29.5,68,0.4,1949,Summer,Holiday,Yes
1921,1921,19/02/2018,101,1,-1.4,42,1.1,1805,Winter,No Holiday,Yes
655,655,28/12/2017,257,7,-5.0,31,0.5,2000,Winter,No Holiday,Yes
2229,2229,03/03/2018,588,21,10.3,52,2.2,1843,Spring,No Holiday,Yes
2537,2537,16/03/2018,1160,17,11.2,30,1.5,2000,Spring,No Holiday,Yes
2945,2945,02/04/2018,1569,17,22.0,49,3.7,1582,Spring,No Holiday,Yes
6422,6422,25/08/2018,1261,14,29.2,52,3.1,1735,Summer,No Holiday,Yes
2540,2540,16/03/2018,774,20,6.7,41,1.0,2000,Spring,No Holiday,Yes
6314,6314,21/08/2018,376,2,27.6,60,4.3,1854,Summer,No Holiday,Yes
4922,4922,24/06/2018,1254,2,20.9,87,1.8,222,Summer,No Holiday,Yes
2457,2457,13/03/2018,616,9,9.4,44,0.3,743,Spring,No Holiday,Yes
2578,2578,18/03/2018,460,10,7.2,53,1.6,709,Spring,No Holiday,Yes
7185,7185,26/09/2018,680,9,17.7,54,1.8,2000,Autumn,No Holiday,Yes
5993,5993,07/08/2018,1232,17,35.6,44,2.4,1860,Summer,No Holiday,Yes
7429,7429,06/10/2018,529,13,17.7,89,5.0,2000,Autumn,No Holiday,Yes
2758,2758,25/03/2018,424,22,8.8,79,2.0,203,Spring,No Holiday,Yes
6690,6690,05/09/2018,3160,18,27.0,45,2.4,2000,Autumn,No Holiday,Yes
3651,3651,02/05/2018,170,3,18.5,82,0.8,342,Spring,No Holiday,Yes
558,558,24/12/2017,12,6,4.9,84,1.3,159,Winter,Holiday,Yes
7804,7804,22/10/2018,110,4,10.0,62,0.6,1759,Autumn,No Holiday,Yes
1371,1371,27/01/2018,41,3,-15.3,43,0.8,1963,Winter,No Holiday,Yes
8556,8556,22/11/2018,717,12,5.9,23,2.8,1985,Autumn,No Holiday,Yes
907,907,07/01/2018,246,19,1.6,35,1.0,1419,Winter,No Holiday,Yes
4550,4550,08/06/2018,1249,14,25.0,54,2.2,1146,Summer,No Holiday,Yes
1433,1433,29/01/2018,239,17,-5.7,30,3.6,1978,Winter,No Holiday,Yes
7386,7386,04/10/2018,0,18,23.1,48,1.3,2000,Autumn,No Holiday,No
5117,5117,02/07/2018,28,5,20.7,97,0.3,2000,Summer,No Holiday,Yes
3518,3518,26/04/2018,1123,14,21.6,28,3.1,1414,Spring,No Holiday,Yes
6919,6919,15/09/2018,453,7,21.2,84,0.3,2000,Autumn,No Holiday,Yes
4655,4655,12/06/2018,1657,23,19.5,72,0.6,1989,Summer,No Holiday,Yes
926,926,08/01/2018,349,14,3.4,31,1.4,1267,Winter,No Holiday,Yes
5312,5312,10/07/2018,2017,8,21.7,89,0.5,2000,Summer,No Holiday,Yes
2470,2470,13/03/2018,912,22,13.5,81,2.8,933,Spring,No Holiday,Yes
15,15,01/12/2017,463,15,2.1,36,3.2,2000,Winter,No Holiday,Yes
143,143,06/12/2017,193,23,1.3,92,0.6,209,Winter,No Holiday,Yes
7979,7979,29/10/2018,796,11,11.0,46,2.6,1946,Autumn,No Holiday,Yes
2363,2363,09/03/2018,444,11,5.9,51,0.7,1866,Spring,No Holiday,Yes
5313,5313,10/07/2018,1061,9,22.3,86,1.0,2000,Summer,No Holiday,Yes
6621,6621,02/09/2018,1759,21,26.2,62,2.3,2000,Autumn,No Holiday,Yes
1161,1161,18/01/2018,305,9,1.2,84,2.1,210,Winter,No Holiday,Yes
4475,4475,05/06/2018,974,11,26.8,37,1.6,1639,Summer,No Holiday,Yes
2996,2996,04/04/2018,1374,20,12.8,56,2.0,2000,Spring,No Holiday,Yes
6620,6620,02/09/2018,1838,20,26.9,56,1.6,2000,Autumn,No Holiday,Yes
8237,8237,09/11/2018,0,5,10.9,68,3.1,1034,Autumn,No Holiday,No
3784,3784,07/05/2018,2213,16,24.5,38,2.2,1903,Spring,No Holiday,Yes
2893,2893,31/03/2018,1218,13,19.3,37,3.0,1257,Spring,No Holiday,Yes
1362,1362,26/01/2018,305,18,-12.7,33,2.5,1835,Winter,No Holiday,Yes
5664,5664,25/07/2018,939,0,28.9,66,2.2,2000,Summer,No Holiday,Yes
1212,1212,20/01/2018,325,12,5.3,55,2.6,904,Winter,No Holiday,Yes
1876,1876,17/02/2018,20,4,-5.2,28,2.5,2000,Winter,Holiday,Yes
5331,5331,11/07/2018,157,3,24.5,97,0.8,263,Summer,No Holiday,Yes
7654,7654,15/10/2018,1377,22,14.8,83,1.5,227,Autumn,No Holiday,Yes
6504,6504,29/08/2018,208,0,22.7,96,0.3,2000,Summer,No Holiday,Yes
7210,7210,27/09/2018,907,10,19.9,47,1.8,1989,Autumn,No Holiday,Yes
4690,4690,14/06/2018,532,10,19.7,94,1.1,497,Summer,No Holiday,Yes
7274,7274,30/09/2018,0,2,17.3,68,0.7,2000,Autumn,No Holiday,No
1170,1170,18/01/2018,506,18,2.0,39,2.1,1259,Winter,No Holiday,Yes
579,579,25/12/2017,100,3,-2.3,52,3.4,1947,Winter,Holiday,Yes
2182,2182,01/03/2018,190,22,-3.6,52,3.7,1277,Spring,Holiday,Yes
6336,6336,22/08/2018,1025,0,25.1,79,0.5,1891,Summer,No Holiday,Yes
3011,3011,05/04/2018,47,11,7.1,93,2.6,697,Spring,No Holiday,Yes
3479,3479,24/04/2018,725,23,9.6,44,0.7,2000,Spring,No Holiday,Yes
1833,1833,15/02/2018,112,9,-3.5,30,1.5,1980,Winter,Holiday,Yes
8639,8639,25/11/2018,379,23,3.8,83,1.1,390,Autumn,No Holiday,Yes
3745,3745,06/05/2018,181,1,18.2,71,1.6,1328,Spring,No Holiday,Yes
1859,1859,16/02/2018,93,11,1.0,25,1.4,1782,Winter,Holiday,Yes
7637,7637,15/10/2018,209,5,11.1,79,0.3,1140,Autumn,No Holiday,Yes
3235,3235,14/04/2018,612,19,9.5,76,2.3,2000,Spring,No Holiday,Yes
2685,2685,22/03/2018,726,21,4.5,62,2.0,826,Spring,No Holiday,Yes
4866,4866,21/06/2018,3418,18,27.8,43,3.0,1933,Summer,No Holiday,Yes
6907,6907,14/09/2018,1996,19,25.3,60,1.2,2000,Autumn,No Holiday,Yes
8702,8702,28/11/2018,675,14,10.3,14,1.1,1880,Autumn,No Holiday,Yes
387,387,17/12/2017,100,3,-9.0,40,3.1,2000,Winter,No Holiday,Yes
5938,5938,05/08/2018,461,10,29.5,78,2.0,1091,Summer,No Holiday,Yes
1032,1032,13/01/2018,152,0,-6.6,39,1.6,1930,Winter,No Holiday,Yes
5991,5991,07/08/2018,698,15,34.3,49,1.0,1633,Summer,No Holiday,Yes
2488,2488,14/03/2018,1049,16,21.7,41,3.2,2000,Spring,No Holiday,Yes
7988,7988,29/10/2018,1026,20,6.8,59,3.2,2000,Autumn,No Holiday,Yes
2629,2629,20/03/2018,516,13,8.0,37,3.4,2000,Spring,No Holiday,Yes
3412,3412,22/04/2018,192,4,14.9,35,0.8,2000,Spring,No Holiday,Yes
7659,7659,16/10/2018,253,3,11.5,61,1.4,1399,Autumn,No Holiday,Yes
5402,5402,14/07/2018,783,2,25.3,85,1.7,1594,Summer,No Holiday,Yes
931,931,08/01/2018,127,19,0.9,88,1.6,290,Winter,No Holiday,Yes
5209,5209,06/07/2018,839,1,23.1,66,1.6,2000,Summer,No Holiday,Yes
691,691,29/12/2017,395,19,2.7,68,1.2,348,Winter,No Holiday,Yes
5340,5340,11/07/2018,964,12,28.1,73,2.1,1326,Summer,No Holiday,Yes
1891,1891,17/02/2018,169,19,-1.5,32,2.5,2000,Winter,Holiday,Yes
2268,2268,05/03/2018,438,12,7.6,58,2.4,2000,Spring,No Holiday,Yes
5969,5969,06/08/2018,1063,17,35.0,53,1.5,1618,Summer,No Holiday,Yes
3794,3794,08/05/2018,287,2,15.5,65,1.3,1953,Spring,No Holiday,Yes
4230,4230,26/05/2018,299,6,14.2,72,0.6,947,Spring,No Holiday,Yes
7369,7369,04/10/2018,0,1,14.7,69,0.6,2000,Autumn,No Holiday,No
3524,3524,26/04/2018,1531,20,14.4,50,2.7,1216,Spring,No Holiday,Yes
7837,7837,23/10/2018,652,13,13.5,82,0.8,962,Autumn,No Holiday,Yes
44,44,02/12/2017,359,20,4.6,51,1.2,1585,Winter,No Holiday,Yes
3945,3945,14/05/2018,1106,9,15.1,74,0.6,437,Spring,No Holiday,Yes
3002,3002,05/04/2018,220,2,9.0,63,2.1,2000,Spring,No Holiday,Yes
8176,8176,06/11/2018,0,16,16.6,55,1.3,334,Autumn,No Holiday,No
1187,1187,19/01/2018,283,11,2.2,20,0.6,1794,Winter,No Holiday,Yes
5771,5771,29/07/2018,476,11,33.6,46,1.7,1965,Summer,No Holiday,Yes
4341,4341,30/05/2018,2074,21,18.2,69,2.0,1286,Spring,No Holiday,Yes
3038,3038,06/04/2018,572,14,7.4,56,3.5,461,Spring,No Holiday,Yes
1683,1683,09/02/2018,78,3,-5.2,48,0.7,1309,Winter,No Holiday,Yes
6929,6929,15/09/2018,1474,17,24.4,75,0.6,2000,Autumn,No Holiday,Yes
3971,3971,15/05/2018,944,11,24.8,36,1.8,973,Spring,No Holiday,Yes
6577,6577,01/09/2018,975,1,22.7,83,0.1,1940,Autumn,No Holiday,Yes
63,63,03/12/2017,621,15,8.0,73,1.6,433,Winter,No Holiday,Yes
617,617,26/12/2017,350,17,-3.6,20,3.7,2000,Winter,No Holiday,Yes
